GISJOIN,Object_ID,Name,Address,City,State,ZIP,County,Country
G0100590,20893,HODGES POLICE DEPARTMENT,1946 STATE HIGHWAY 172,HODGES,AL,35571,FRANKLIN,USA
G0100590,22435,PHIL CAMPBELL POLICE DEPARTMENT,580 RAILROAD STREET,PHIL CAMPBELL,AL,35581,FRANKLIN,USA
G0100590,20717,FRANKLIN COUNTY DETENTION CENTER,748 WALNUT GATE ROAD,RUSSELLVILLE,AL,35654,FRANKLIN,USA
G0100590,22437,FRANKLIN COUNTY SHERIFFS DEPARTMENT,748 WALNUT GATE ROAD,RUSSELLVILLE,AL,35654,FRANKLIN,USA
G0100050,20701,LAKEPOINT STATE PARK RANGER STATION,104 LAKE POINT INDUSTRIAL PARK DRIVE,EUFAULA,AL,36027,BARBOUR,USA
G0100050,20823,BARBOUR COUNTY DRUG TASK FORCE,545 EAST BARBOUR STREET,EUFAULA,AL,36027,BARBOUR,USA
G0100050,22381,EUFAULA POLICE DEPARTMENT / EUFAULA CITY JAIL,545 EAST BARBOUR STREET,EUFAULA,AL,36027,BARBOUR,USA
G0100050,22196,BAKER HILL POLICE DEPARTMENT,1896 STATE HIGHWAY 131 SOUTH,EUFAULA,AL,36027,BARBOUR,USA
G0100050,22538,CLAYTON POLICE DEPARTMENT,6 SOUTH MIDWAY STREET,CLAYTON,AL,36016,BARBOUR,USA
G0100050,22447,BARBOUR COUNTY SHERIFFS OFFICE / BARBOUR COUNTY JAIL,24 ROBERTSON AIRPORT ROAD,CLAYTON,AL,36016,BARBOUR,USA
G0100050,22195,LOUISVILLE POLICE DEPARTMENT,1951 MAIN STREET,LOUISVILLE,AL,36048,BARBOUR,USA
G0100050,20907,BLUE SPRINGS STATE PARK RANGER STATION,2595 STATE HIGHWAY 10,CLIO,AL,36017,BARBOUR,USA
G0100050,22545,CLIO POLICE DEPARTMENT,3265 LOUISVILLE STREET,CLIO,AL,36017,BARBOUR,USA
G0100750,21112,KENNEDY POLICE DEPARTMENT,17885 STATE HIGHWAY 96,KENNEDY,AL,35574,LAMAR,USA
G0100750,22018,LAMAR COUNTY SHERIFFS DEPARTMENT,330 1ST STREET NORTHEAST,VERNON,AL,35592,LAMAR,USA
G0100750,22582,VERNON POLICE DEPARTMENT,44425 STATE HIGHWAY 17,VERNON,AL,35592,LAMAR,USA
G0100750,22570,MILLPORT POLICE DEPARTMENT,920 BLACK STREET,MILLPORT,AL,35576,LAMAR,USA
G0100750,22380,SULLIGENT POLICE DEPARTMENT,5795 UNITED STATES HIGHWAY 278,SULLIGENT,AL,35586,LAMAR,USA
G0100490,22507,MENTONE POLICE DEPARTMENT,5972 STATE HIGHWAY 117,MENTONE,AL,35984,DEKALB,USA
G0100490,22576,IDER POLICE DEPARTMENT,10793 STATE HIGHWAY 75,IDER,AL,35981,DEKALB,USA
G0100490,22101,HENAGAR POLICE DEPARTMENT,17898 STATE HIGHWAY 75,HENAGAR,AL,35978,DEKALB,USA
G0100490,22063,VALLEY HEAD POLICE DEPARTMENT,41 ANDERSON STREET,VALLEY HEAD,AL,35989,DEKALB,USA
G0100490,22601,HAMMONDVILLE POLICE DEPARTMENT,37669 UNITED STATES HIGHWAY 11,HAMMONDVILLE,AL,35989,DEKALB,USA
